fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2025-12-31,2.65,2.84,2025-Q4,AAPL
2025-09-30,1.73,1.85,2025-Q3,AAPL
2025-06-30,1.42,1.57,2025-Q2,AAPL
2025-03-31,1.61,1.65,2025-Q1,AAPL
2024-12-31,2.36,2.4,2024-Q4,AAPL
2024-09-30,1.49,1.64,2024-Q3,AAPL
2024-06-30,1.34,1.4,2024-Q2,AAPL
2024-03-31,1.51,1.53,2024-Q1,AAPL
2023-12-31,2.09,2.18,2023-Q4,AAPL
2023-09-30,1.39,1.46,2023-Q3,AAPL
2023-06-30,1.19,1.26,2023-Q2,AAPL
2023-03-31,1.44,1.52,2023-Q1,AAPL
2022-12-31,1.93,1.88,2022-Q4,AAPL
2022-09-30,1.26,1.29,2022-Q3,AAPL
2022-06-30,1.14,1.2,2022-Q2,AAPL
2022-03-31,1.43,1.52,2022-Q1,AAPL
2021-12-31,1.89,2.1,2021-Q4,AAPL
2021-09-30,1.24,1.24,2021-Q3,AAPL
2021-06-30,1.0,1.3,2021-Q2,AAPL
2021-03-31,1.0,1.4,2021-Q1,AAPL
2020-12-31,1.41,1.68,2020-Q4,AAPL
2020-09-30,0.69,0.73,2020-Q3,AAPL
2020-06-30,0.51,0.64,2020-Q2,AAPL
2020-03-31,0.52,0.64,2020-Q1,AAPL
2019-12-31,1.13,1.25,2019-Q4,AAPL
2019-09-30,0.71,0.76,2019-Q3,AAPL
2019-06-30,0.52,0.55,2019-Q2,AAPL
2019-03-31,0.59,0.62,2019-Q1,AAPL
2018-12-31,1.04,1.04,2018-Q4,AAPL
2018-09-30,0.7,0.73,2018-Q3,AAPL
2018-06-30,0.54,0.58,2018-Q2,AAPL
2018-03-31,0.67,0.68,2018-Q1,AAPL
2017-12-31,0.95,0.97,2017-Q4,AAPL
2017-09-30,0.47,0.52,2017-Q3,AAPL
2017-06-30,0.39,0.42,2017-Q2,AAPL
2017-03-31,0.5,0.52,2017-Q1,AAPL
2016-12-31,0.81,0.84,2016-Q4,AAPL
2016-09-30,0.41,0.42,2016-Q3,AAPL
2016-06-30,0.35,0.35,2016-Q2,AAPL
2016-03-31,0.49,0.47,2016-Q1,AAPL
2015-12-31,0.81,0.82,2015-Q4,AAPL
2015-09-30,0.47,0.49,2015-Q3,AAPL
2015-06-30,0.45,0.46,2015-Q2,AAPL
2015-03-31,0.55,0.58,2015-Q1,AAPL
2014-12-31,0.65,0.76,2014-Q4,AAPL
2025-11-30,4.39,4.55,2025-Q4,ADBE
2025-08-31,4.21,4.29,2025-Q3,ADBE
2025-05-31,4.01,4.1,2025-Q2,ADBE
2025-02-28,4.07,4.28,2025-Q1,ADBE
2024-11-30,3.77,4.07,2024-Q4,ADBE
2024-08-31,3.63,3.81,2024-Q3,ADBE
2024-05-31,3.54,3.63,2024-Q2,ADBE
2024-02-29,3.57,3.53,2024-Q1,ADBE
2023-11-30,3.32,3.52,2023-Q4,ADBE
2023-08-31,3.17,3.26,2023-Q3,ADBE
2023-05-31,3.0,3.04,2023-Q2,ADBE
2023-02-28,2.97,2.97,2023-Q1,ADBE
2022-11-30,2.78,2.78,2022-Q4,ADBE
2022-08-31,2.65,2.63,2022-Q3,ADBE
2022-05-31,2.65,2.7,2022-Q2,ADBE
2022-02-28,2.77,2.84,2022-Q1,ADBE
2021-11-30,2.7,2.77,2021-Q4,ADBE
2021-08-31,2.52,2.65,2021-Q3,ADBE
2021-05-31,2.35,2.56,2021-Q2,ADBE
2021-02-28,2.31,2.64,2021-Q1,ADBE
2020-11-30,2.2,2.42,2020-Q4,ADBE
2020-08-31,1.97,2.12,2020-Q3,ADBE
2020-05-31,1.9,2.08,2020-Q2,ADBE
2020-02-29,1.81,1.93,2020-Q1,ADBE
2019-11-30,1.86,1.91,2019-Q4,ADBE
2019-08-31,1.59,1.76,2019-Q3,ADBE
2019-05-31,1.41,1.47,2019-Q2,ADBE
2019-02-28,1.26,1.37,2019-Q1,ADBE
2018-11-30,1.56,1.5,2018-Q4,ADBE
2018-08-31,1.39,1.42,2018-Q3,ADBE
2018-05-31,1.25,1.38,2018-Q2,ADBE
2018-02-28,1.22,1.28,2018-Q1,ADBE
2017-11-30,0.96,1.05,2017-Q4,ADBE
2017-08-31,0.82,0.9,2017-Q3,ADBE
2017-05-31,0.77,0.81,2017-Q2,ADBE
2017-02-28,0.72,0.78,2017-Q1,ADBE
2016-11-30,0.72,0.83,2016-Q4,ADBE
2016-08-31,0.58,0.6,2016-Q3,ADBE
2016-05-31,0.53,0.55,2016-Q2,ADBE
2016-02-29,0.47,0.52,2016-Q1,ADBE
2015-11-30,0.45,0.47,2015-Q4,ADBE
2015-08-31,0.35,0.39,2015-Q3,ADBE
2015-05-31,0.31,0.34,2015-Q2,ADBE
2015-02-28,0.27,0.27,2015-Q1,ADBE
2025-12-31,1.11,1.24,2025-Q4,AMD
2025-09-30,0.97,0.97,2025-Q3,AMD
2025-06-30,0.28,0.27,2025-Q2,AMD
2025-03-31,0.75,0.78,2025-Q1,AMD
2024-12-31,0.88,0.88,2024-Q4,AMD
2024-09-30,0.71,0.76,2024-Q3,AMD
