Earnings Date,EPS Estimate,Reported EPS,fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2002-01-16 21:00:00,,,2002-01-16,,,2002-Q1,AAPL
2002-04-17 20:00:00,,,2002-04-17,,,2002-Q2,AAPL
2002-04-17 20:00:00,,,2002-04-17,,,2002-Q2,AAPL
2002-07-16 20:00:00,,,2002-07-16,,,2002-Q3,AAPL
2002-07-16 20:00:00,,,2002-07-16,,,2002-Q3,AAPL
2002-10-16 20:00:00,,,2002-10-16,,,2002-Q4,AAPL
2003-01-15 21:00:00,,,2003-01-15,,,2003-Q1,AAPL
2003-04-16 20:00:00,,,2003-04-16,,,2003-Q2,AAPL
2003-07-16 20:00:00,,,2003-07-16,,,2003-Q3,AAPL
2003-10-15 20:00:00,,,2003-10-15,,,2003-Q4,AAPL
2004-01-14 21:00:00,,,2004-01-14,,,2004-Q1,AAPL
2004-04-14 20:00:00,,,2004-04-14,,,2004-Q2,AAPL
2004-07-14 10:00:00,,,2004-07-14,,,2004-Q3,AAPL
2004-10-13 20:00:00,,,2004-10-13,,,2004-Q4,AAPL
2005-01-12 21:00:00,0.01,0.01,2005-01-12,0.01,0.01,2005-Q1,AAPL
2005-04-13 20:00:00,0.01,0.01,2005-04-13,0.01,0.01,2005-Q2,AAPL
2005-07-13 20:00:00,0.01,0.01,2005-07-13,0.01,0.01,2005-Q3,AAPL
2005-10-11 20:00:00,0.01,0.02,2005-10-11,0.01,0.02,2005-Q4,AAPL
2006-01-18 21:00:00,0.02,0.02,2006-01-18,0.02,0.02,2006-Q1,AAPL
2006-04-19 20:00:00,0.01,0.02,2006-04-19,0.01,0.02,2006-Q2,AAPL
2006-07-19 20:00:00,0.02,0.02,2006-07-19,0.02,0.02,2006-Q3,AAPL
2006-10-18 20:00:00,0.02,0.02,2006-10-18,0.02,0.02,2006-Q4,AAPL
2007-01-17 21:00:00,0.03,0.04,2007-01-17,0.03,0.04,2007-Q1,AAPL
2007-04-25 20:00:00,0.02,0.03,2007-04-25,0.02,0.03,2007-Q2,AAPL
2007-07-25 20:00:00,0.03,0.03,2007-07-25,0.03,0.03,2007-Q3,AAPL
2007-10-22 20:00:00,0.03,0.04,2007-10-22,0.03,0.04,2007-Q4,AAPL
2008-01-22 21:00:00,0.06,0.06,2008-01-22,0.06,0.06,2008-Q1,AAPL
2008-04-23 20:00:00,0.04,0.04,2008-04-23,0.04,0.04,2008-Q2,AAPL
2008-07-21 20:00:00,0.04,0.04,2008-07-21,0.04,0.04,2008-Q3,AAPL
2008-10-21 20:00:00,0.04,0.05,2008-10-21,0.04,0.05,2008-Q4,AAPL
2009-01-21 21:00:00,0.05,0.06,2009-01-21,0.05,0.06,2009-Q1,AAPL
2009-04-22 20:00:00,0.04,0.05,2009-04-22,0.04,0.05,2009-Q2,AAPL
2009-07-21 20:00:00,0.04,0.05,2009-07-21,0.04,0.05,2009-Q3,AAPL
2010-04-19 08:00:00,0.07,0.13,2010-04-19,0.07,0.13,2010-Q2,AAPL
2010-04-19 08:00:00,0.05,0.07,2010-04-19,0.05,0.07,2010-Q2,AAPL
