ticker,fiscal_quarter,eps_beat,next_quarter_estimated,next_quarter_actual
BK,2014-Q4,1,0.59,0.67
BK,2015-Q1,1,0.66,0.77
BK,2015-Q2,1,0.71,0.74
BK,2015-Q3,1,0.64,0.68
BK,2015-Q4,1,0.68,0.74
BK,2016-Q1,1,0.75,0.76
BK,2016-Q2,1,0.81,0.9
BK,2016-Q3,0,0.78,0.77
BK,2016-Q4,0,0.8,0.8
BK,2017-Q1,1,0.84,0.92
BK,2017-Q2,1,0.93,0.98
BK,2017-Q3,0,0.91,0.91
BK,2017-Q4,1,0.97,1.1
BK,2018-Q1,0,1.03,1.03
BK,2018-Q2,1,1.04,1.06
BK,2018-Q3,1,0.92,0.99
BK,2018-Q4,0,0.96,0.94
BK,2019-Q1,1,0.94,1.01
BK,2019-Q2,1,0.99,1.07
BK,2019-Q3,1,0.99,1.01
BK,2019-Q4,1,0.9,1.05
BK,2020-Q1,1,0.94,1.01
BK,2020-Q2,1,0.96,0.98
BK,2020-Q3,1,0.93,0.96
BK,2020-Q4,1,0.87,0.97
BK,2021-Q1,1,1.02,1.13
BK,2021-Q2,1,1.02,1.04
BK,2021-Q3,1,1.02,1.04
BK,2021-Q4,0,0.86,0.86
BK,2022-Q1,1,1.12,1.15
BK,2022-Q2,1,1.1,1.21
BK,2022-Q3,1,1.22,1.3
BK,2022-Q4,1,1.09,1.13
BK,2023-Q1,1,1.22,1.38
BK,2023-Q2,1,1.14,1.27
BK,2023-Q3,1,1.12,1.28
BK,2023-Q4,1,1.19,1.29
BK,2024-Q1,1,1.43,1.51
BK,2024-Q2,1,1.41,1.52
BK,2024-Q3,1,1.56,1.72
BK,2024-Q4,1,1.49,1.58
BK,2025-Q1,1,1.74,1.94
BK,2025-Q2,1,1.76,1.91
BK,2025-Q3,1,1.97,2.08
BLK,2014-Q4,1,4.51,4.89
BLK,2015-Q1,1,4.8,4.96
BLK,2015-Q2,1,4.51,5.0
BLK,2015-Q3,0,4.82,4.75
BLK,2015-Q4,0,4.29,4.25
BLK,2016-Q1,0,4.79,4.78
BLK,2016-Q2,1,5.05,5.14
BLK,2016-Q3,1,5.02,5.14
BLK,2016-Q4,1,4.94,5.25
BLK,2017-Q1,0,5.39,5.24
BLK,2017-Q2,1,5.59,5.92
BLK,2017-Q3,1,6.07,6.24
BLK,2017-Q4,1,6.41,6.7
BLK,2018-Q1,1,6.6,6.66
BLK,2018-Q2,1,6.93,7.52
BLK,2018-Q3,0,6.35,6.08
BLK,2018-Q4,1,6.2,6.61
BLK,2019-Q1,0,6.52,6.41
BLK,2019-Q2,1,6.95,7.15
BLK,2019-Q3,1,7.67,8.34
BLK,2019-Q4,0,6.69,6.6
BLK,2020-Q1,1,6.9,7.85
BLK,2020-Q2,1,7.81,9.22
BLK,2020-Q3,1,9.17,10.18
BLK,2020-Q4,1,7.64,7.77
BLK,2021-Q1,1,9.33,10.03
BLK,2021-Q2,1,9.54,10.95
BLK,2021-Q3,1,10.23,10.42
BLK,2021-Q4,1,8.92,9.52
BLK,2022-Q1,0,7.94,7.36
BLK,2022-Q2,1,7.7,9.55
BLK,2022-Q3,1,7.99,8.93
BLK,2022-Q4,1,7.71,7.93
BLK,2023-Q1,1,8.47,9.28
BLK,2023-Q2,1,8.47,10.91
BLK,2023-Q3,1,8.84,9.66
BLK,2023-Q4,1,9.42,9.81
BLK,2024-Q1,1,9.96,10.36
BLK,2024-Q2,1,10.42,11.46
BLK,2024-Q3,1,11.27,11.93
BLK,2024-Q4,1,10.25,11.3
BLK,2025-Q1,1,10.71,12.05
BLK,2025-Q2,1,11.19,11.55
BLK,2025-Q3,1,12.39,13.16
BR,2014-Q4,0,0.52,0.47
BR,2015-Q1,1,1.38,1.4
BR,2015-Q2,1,0.27,0.33
BR,2015-Q3,1,0.33,0.38
BR,2015-Q4,1,0.49,0.58
BR,2016-Q1,0,1.45,1.45
BR,2016-Q2,0,0.38,0.36
BR,2016-Q3,1,0.38,0.39
BR,2016-Q4,1,0.59,0.69
BR,2017-Q1,0,1.71,1.71
BR,2017-Q2,1,0.41,0.54
BR,2017-Q3,1,0.58,0.79
BR,2017-Q4,1,0.79,1.0
BR,2018-Q1,0,1.88,1.86
BR,2018-Q2,1,0.7,0.79
BR,2018-Q3,0,0.71,0.56
BR,2018-Q4,1,1.49,1.59
BR,2019-Q1,0,1.72,1.72
BR,2019-Q2,0,0.72,0.68
BR,2019-Q3,0,0.76,0.53
