ticker,quarter,eps_beat,next_quarter_estimated,next_quarter_actual
AAPL,2014-Q4,1,0.55,0.58
AAPL,2015-Q1,1,0.45,0.46
AAPL,2015-Q2,1,0.47,0.49
AAPL,2015-Q3,1,0.81,0.82
AAPL,2015-Q4,0,0.49,0.47
AAPL,2016-Q1,0,0.35,0.35
AAPL,2016-Q2,1,0.41,0.42
AAPL,2016-Q3,1,0.81,0.84
AAPL,2016-Q4,1,0.5,0.52
AAPL,2017-Q1,1,0.39,0.42
AAPL,2017-Q2,1,0.47,0.52
AAPL,2017-Q3,1,0.95,0.97
AAPL,2017-Q4,1,0.67,0.68
AAPL,2018-Q1,1,0.54,0.58
AAPL,2018-Q2,1,0.7,0.73
AAPL,2018-Q3,0,1.04,1.04
AAPL,2018-Q4,1,0.59,0.62
AAPL,2019-Q1,1,0.52,0.55
AAPL,2019-Q2,1,0.71,0.76
AAPL,2019-Q3,1,1.13,1.25
AAPL,2019-Q4,1,0.52,0.64
AAPL,2020-Q1,1,0.51,0.64
AAPL,2020-Q2,1,0.69,0.73
AAPL,2020-Q3,1,1.41,1.68
AAPL,2020-Q4,1,1.0,1.4
AAPL,2021-Q1,1,1.0,1.3
AAPL,2021-Q2,0,1.24,1.24
AAPL,2021-Q3,1,1.89,2.1
AAPL,2021-Q4,1,1.43,1.52
AAPL,2022-Q1,1,1.14,1.2
AAPL,2022-Q2,1,1.26,1.29
AAPL,2022-Q3,0,1.93,1.88
AAPL,2022-Q4,1,1.44,1.52
AAPL,2023-Q1,1,1.19,1.26
AAPL,2023-Q2,1,1.39,1.46
AAPL,2023-Q3,1,2.09,2.18
AAPL,2023-Q4,1,1.51,1.53
AAPL,2024-Q1,1,1.34,1.4
AAPL,2024-Q2,1,1.49,1.64
AAPL,2024-Q3,1,2.36,2.4
AAPL,2024-Q4,1,1.61,1.65
AAPL,2025-Q1,1,1.42,1.57
AAPL,2025-Q2,1,1.73,1.85
AAPL,2025-Q3,1,2.65,2.84
ADBE,2015-Q1,1,0.31,0.34
ADBE,2015-Q2,1,0.35,0.39
ADBE,2015-Q3,1,0.45,0.47
ADBE,2015-Q4,1,0.47,0.52
ADBE,2016-Q1,1,0.53,0.55
ADBE,2016-Q2,1,0.58,0.6
ADBE,2016-Q3,1,0.72,0.83
ADBE,2016-Q4,1,0.72,0.78
ADBE,2017-Q1,1,0.77,0.81
ADBE,2017-Q2,1,0.82,0.9
ADBE,2017-Q3,1,0.96,1.05
ADBE,2017-Q4,1,1.22,1.28
ADBE,2018-Q1,1,1.25,1.38
ADBE,2018-Q2,1,1.39,1.42
ADBE,2018-Q3,0,1.56,1.5
ADBE,2018-Q4,1,1.26,1.37
ADBE,2019-Q1,1,1.41,1.47
ADBE,2019-Q2,1,1.59,1.76
ADBE,2019-Q3,1,1.86,1.91
ADBE,2019-Q4,1,1.81,1.93
ADBE,2020-Q1,1,1.9,2.08
ADBE,2020-Q2,1,1.97,2.12
ADBE,2020-Q3,1,2.2,2.42
ADBE,2020-Q4,1,2.31,2.64
ADBE,2021-Q1,1,2.35,2.56
ADBE,2021-Q2,1,2.52,2.65
ADBE,2021-Q3,1,2.7,2.77
ADBE,2021-Q4,1,2.77,2.84
ADBE,2022-Q1,1,2.65,2.7
ADBE,2022-Q2,0,2.65,2.63
ADBE,2022-Q3,0,2.78,2.78
ADBE,2022-Q4,0,2.97,2.97
ADBE,2023-Q1,1,3.0,3.04
ADBE,2023-Q2,1,3.17,3.26
ADBE,2023-Q3,1,3.32,3.52
ADBE,2023-Q4,0,3.57,3.53
ADBE,2024-Q1,1,3.54,3.63
ADBE,2024-Q2,1,3.63,3.81
ADBE,2024-Q3,1,3.77,4.07
ADBE,2024-Q4,1,4.07,4.28
ADBE,2025-Q1,1,4.01,4.1
ADBE,2025-Q2,1,4.21,4.29
ADBE,2025-Q3,1,4.39,4.55
AMD,2014-Q4,0,-0.06,-0.11
AMD,2015-Q1,0,-0.17,-0.19
AMD,2015-Q2,0,-0.12,-0.19
AMD,2015-Q3,0,-0.12,-0.12
AMD,2015-Q4,1,-0.15,-0.14
AMD,2016-Q1,1,-0.11,-0.07
AMD,2016-Q2,1,-0.02,0.0
AMD,2016-Q3,0,-0.04,-0.04
AMD,2016-Q4,0,-0.07,-0.07
AMD,2017-Q1,1,-0.02,-0.01
AMD,2017-Q2,1,0.06,0.08
AMD,2017-Q3,1,0.02,0.06
AMD,2017-Q4,1,0.06,0.08
AMD,2018-Q1,1,0.1,0.12
AMD,2018-Q2,0,0.11,0.1
AMD,2018-Q3,0,0.06,0.05
AMD,2018-Q4,1,0.02,0.03
AMD,2019-Q1,0,0.05,0.04
AMD,2019-Q2,0,0.14,0.14
AMD,2019-Q3,1,0.26,0.27
AMD,2019-Q4,0,0.14,0.14
AMD,2020-Q1,1,0.12,0.13
AMD,2020-Q2,1,0.31,0.35
AMD,2020-Q3,1,0.41,0.45
AMD,2020-Q4,1,0.38,0.47
AMD,2021-Q1,1,0.48,0.58
AMD,2021-Q2,1,0.61,0.66
AMD,2021-Q3,1,0.69,0.83
AMD,2021-Q4,1,0.83,1.02
AMD,2022-Q1,0,0.94,0.91
AMD,2022-Q2,0,0.55,0.54
AMD,2022-Q3,1,0.52,0.54
AMD,2022-Q4,1,0.42,0.43
AMD,2023-Q1,0,0.4,0.4
AMD,2023-Q2,1,0.49,0.53
AMD,2023-Q3,1,0.58,0.59
AMD,2023-Q4,1,0.41,0.43
AMD,2024-Q1,1,0.47,0.5
AMD,2024-Q2,1,0.71,0.76
AMD,2024-Q3,0,0.88,0.88
AMD,2024-Q4,1,0.75,0.78
AMD,2025-Q1,0,0.28,0.27
AMD,2025-Q2,0,0.97,0.97
