ticker,quarter,eps_beat,next_quarter_estimated,next_quarter_actual
AAPL,2004-Q4,0,0.01,0.01
AAPL,2005-Q1,0,0.01,0.01
AAPL,2005-Q2,0,0.01,0.01
AAPL,2005-Q3,1,0.01,0.02
AAPL,2005-Q4,0,0.02,0.02
AAPL,2006-Q1,1,0.01,0.02
AAPL,2006-Q2,0,0.02,0.02
AAPL,2006-Q3,0,0.02,0.02
AAPL,2006-Q4,1,0.03,0.04
AAPL,2007-Q1,1,0.02,0.03
AAPL,2007-Q2,0,0.03,0.03
AAPL,2007-Q3,1,0.03,0.04
AAPL,2007-Q4,0,0.06,0.06
AAPL,2008-Q1,0,0.04,0.04
AAPL,2008-Q2,0,0.04,0.04
AAPL,2008-Q3,1,0.04,0.05
AAPL,2008-Q4,1,0.05,0.06
AAPL,2009-Q1,1,0.04,0.05
AAPL,2009-Q2,1,0.04,0.05
AAPL,2009-Q3,1,0.07,0.13
AAPL,2010-Q2,1,0.11,0.13
AAPL,2010-Q3,1,0.14,0.17
AAPL,2010-Q4,1,0.19,0.23
AAPL,2011-Q1,1,0.19,0.23
AAPL,2011-Q2,1,0.21,0.28
AAPL,2011-Q3,0,0.26,0.25
AAPL,2011-Q4,1,0.36,0.5
AAPL,2012-Q1,1,0.35,0.44
AAPL,2012-Q2,0,0.37,0.33
AAPL,2012-Q3,0,0.31,0.31
AAPL,2012-Q4,1,0.48,0.49
AAPL,2013-Q1,0,0.36,0.36
AAPL,2013-Q2,1,0.26,0.27
AAPL,2013-Q3,1,0.28,0.3
AAPL,2013-Q4,1,0.5,0.52
AAPL,2014-Q1,1,0.36,0.42
AAPL,2014-Q2,1,0.31,0.32
AAPL,2014-Q3,1,0.33,0.36
AAPL,2014-Q4,1,0.65,0.77
AAPL,2015-Q1,1,0.54,0.58
AAPL,2015-Q2,1,0.45,0.46
AAPL,2015-Q3,1,0.47,0.49
AAPL,2015-Q4,1,0.81,0.82
AAPL,2016-Q1,0,0.5,0.48
AAPL,2016-Q2,1,0.35,0.36
AAPL,2016-Q3,1,0.41,0.42
AAPL,2016-Q4,1,0.81,0.84
AAPL,2017-Q1,1,0.51,0.53
AAPL,2017-Q2,1,0.39,0.42
AAPL,2017-Q3,1,0.47,0.52
AAPL,2017-Q4,1,0.96,0.97
AAPL,2018-Q1,1,0.67,0.68
AAPL,2018-Q2,1,0.54,0.59
AAPL,2018-Q3,1,0.7,0.73
AAPL,2018-Q4,1,1.04,1.05
AAPL,2019-Q1,1,0.59,0.62
AAPL,2019-Q2,1,0.53,0.55
AAPL,2019-Q3,1,0.71,0.76
AAPL,2019-Q4,1,1.13,1.25
AAPL,2020-Q1,1,0.56,0.64
AAPL,2020-Q2,1,0.52,0.65
AAPL,2020-Q3,1,0.7,0.73
AAPL,2020-Q4,1,1.42,1.68
AAPL,2021-Q1,1,0.98,1.4
AAPL,2021-Q2,1,1.01,1.3
AAPL,2021-Q3,0,1.24,1.24
AAPL,2021-Q4,1,1.89,2.1
AAPL,2022-Q1,1,1.43,1.52
AAPL,2022-Q2,1,1.15,1.2
AAPL,2022-Q3,1,1.27,1.29
AAPL,2022-Q4,0,1.95,1.88
AAPL,2023-Q1,1,1.43,1.52
AAPL,2023-Q2,1,1.19,1.26
AAPL,2023-Q3,1,1.39,1.46
AAPL,2023-Q4,1,2.11,2.18
AAPL,2024-Q1,1,1.5,1.53
AAPL,2024-Q2,1,1.34,1.4
AAPL,2024-Q3,1,0.95,0.97
AAPL,2024-Q4,1,2.34,2.4
AAPL,2025-Q1,1,1.62,1.65
AAPL,2025-Q2,1,1.43,1.57
AAPL,2025-Q3,1,1.77,1.85
AAPL,2025-Q4,1,2.67,2.84
ADBE,2001-Q2,0,0.14,0.14
ADBE,2001-Q3,0,0.11,0.1
ADBE,2001-Q4,1,0.1,0.11
ADBE,2002-Q1,1,0.13,0.14
