ticker,quarter
ADBE,2025-Q4
AMD,2016-Q3
AMD,2017-Q2
AMZN,2017-Q3
AVGO,2025-Q4
BLK,2015-Q1
BLK,2015-Q2
BLK,2015-Q3
BLK,2015-Q4
BLK,2016-Q1
BLK,2016-Q2
BLK,2016-Q3
BLK,2016-Q4
BLK,2017-Q1
BLK,2017-Q2
BLK,2017-Q3
BLK,2017-Q4
BLK,2018-Q1
BLK,2018-Q2
BLK,2018-Q3
BLK,2019-Q1
BLK,2019-Q2
BLK,2019-Q3
BLK,2019-Q4
BLK,2020-Q1
BLK,2020-Q2
BLK,2020-Q3
BLK,2020-Q4
BLK,2021-Q1
BLK,2021-Q2
BLK,2021-Q3
BLK,2021-Q4
BLK,2022-Q1
BLK,2022-Q2
CRM,2025-Q4
INTC,2025-Q1
NFLX,2015-Q2
NFLX,2015-Q4
NFLX,2016-Q1
NFLX,2016-Q2
NOW,2015-Q2
NVDA,2025-Q4
SHOP,2016-Q2
SHOP,2016-Q3
SHOP,2016-Q4
SHOP,2017-Q1
SHOP,2017-Q2
SHOP,2017-Q3
SHOP,2017-Q4
SHOP,2018-Q1
SHOP,2018-Q2
SHOP,2018-Q3
SHOP,2019-Q1
SHOP,2019-Q2
SHOP,2020-Q2
TSLA,2016-Q3
TSLA,2018-Q3
TSM,2015-Q1
