penalty,C,class_weight,n_train,n_test,y_train_mean,y_test_mean,logloss_oos,brier_oos,model_id
l1,0.3,None,744,330,0.7701612903225806,0.8575757575757575,0.41398066167875675,0.12683050498647,run_012
l1,0.1,None,744,330,0.7701612903225806,0.8575757575757575,0.4161651281398213,0.1259443538554382,run_011
l2,0.1,None,744,330,0.7701612903225806,0.8575757575757575,0.4168287339831805,0.12825851362560578,run_001
l1,1.0,None,744,330,0.7701612903225806,0.8575757575757575,0.41924346205932794,0.1292504885295177,run_013
l2,0.3,None,744,330,0.7701612903225806,0.8575757575757575,0.4250790073186457,0.13128097709067518,run_002
l1,3.0,None,744,330,0.7701612903225806,0.8575757575757575,0.4318853827388311,0.13364972028795347,run_014
l2,1.0,None,744,330,0.7701612903225806,0.8575757575757575,0.43402543133484767,0.13440469383774417,run_003
l2,3.0,None,744,330,0.7701612903225806,0.8575757575757575,0.439476947151792,0.13621077345812035,run_004
l1,10.0,None,744,330,0.7701612903225806,0.8575757575757575,0.4398273577365009,0.13636068361696532,run_015
l2,10.0,None,744,330,0.7701612903225806,0.8575757575757575,0.44162512279941096,0.13688495994365546,run_005
l2,0.1,balanced,744,330,0.7701612903225806,0.8575757575757575,0.5992589630047865,0.20876847146628166,run_006
l1,0.3,balanced,744,330,0.7701612903225806,0.8575757575757575,0.601064729486776,0.20937839454131968,run_017
l1,1.0,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6037728141408817,0.21112103704910018,run_018
l2,0.3,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6123105679567078,0.2147457339481417,run_007
l1,0.1,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6208597747112001,0.21662780121837377,run_016
l1,3.0,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6210759297932248,0.21855120160598585,run_019
l2,1.0,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6252082118303267,0.22031045661821855,run_008
l2,10.0,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6306146694214757,0.22238024358615865,run_010
l2,3.0,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6306670529545597,0.22253822785224678,run_009
l1,10.0,balanced,744,330,0.7701612903225806,0.8575757575757575,0.6307110499810985,0.22250245122336473,run_020
