ticker,quarter,poly_api_url
AMZN,2023-Q1,
AMZN,2023-Q2,
AMZN,2023-Q3,
AMZN,2023-Q4,
AMZN,2024-Q1,
AMZN,2024-Q2,
AMZN,2024-Q3,
AMZN,2024-Q4,
AMZN,2025-Q1,
AMZN,2025-Q2,
AMZN,2025-Q3,
AVGO,2023-Q1,
AVGO,2023-Q2,
AVGO,2023-Q3,
AVGO,2023-Q4,
AVGO,2024-Q1,
AVGO,2024-Q2,
AVGO,2024-Q3,
AVGO,2024-Q4,
AVGO,2025-Q1,
AVGO,2025-Q2,
AVGO,2025-Q3,
CRM,2023-Q1,
CRM,2023-Q2,
CRM,2023-Q3,
CRM,2023-Q4,
CRM,2024-Q1,
CRM,2024-Q2,
CRM,2024-Q3,
CRM,2024-Q4,
CRM,2025-Q1,
CRM,2025-Q2,
CRM,2025-Q3,
MSFT,2023-Q1,
MSFT,2023-Q2,
MSFT,2023-Q3,
MSFT,2023-Q4,
MSFT,2024-Q1,
MSFT,2024-Q2,
MSFT,2024-Q3,
MSFT,2024-Q4,
MSFT,2025-Q1,
MSFT,2025-Q2,
MSFT,2025-Q3,
NFLX,2023-Q1,
NFLX,2023-Q2,
NFLX,2023-Q3,
NFLX,2023-Q4,
NFLX,2024-Q1,
NFLX,2024-Q2,
NFLX,2024-Q3,
NFLX,2024-Q4,
NFLX,2025-Q1,
NFLX,2025-Q2,
NFLX,2025-Q3,
NOW,2023-Q1,
NOW,2023-Q2,
NOW,2023-Q3,
NOW,2023-Q4,
NOW,2024-Q1,
NOW,2024-Q2,
NOW,2024-Q3,
NOW,2024-Q4,
NOW,2025-Q1,
NOW,2025-Q2,
NOW,2025-Q3,
NVDA,2023-Q1,
NVDA,2023-Q2,
NVDA,2023-Q3,
NVDA,2023-Q4,
NVDA,2024-Q1,
NVDA,2024-Q2,
NVDA,2024-Q3,
NVDA,2024-Q4,
NVDA,2025-Q1,
NVDA,2025-Q2,
NVDA,2025-Q3,
QCOM,2023-Q1,
QCOM,2023-Q2,
QCOM,2023-Q3,
QCOM,2023-Q4,
QCOM,2024-Q1,
QCOM,2024-Q2,
QCOM,2024-Q3,
QCOM,2024-Q4,
QCOM,2025-Q1,
QCOM,2025-Q2,
QCOM,2025-Q3,
SHOP,2023-Q1,
SHOP,2023-Q2,
SHOP,2023-Q3,
SHOP,2023-Q4,
SHOP,2024-Q1,
SHOP,2024-Q2,
SHOP,2024-Q3,
SHOP,2024-Q4,
SHOP,2025-Q1,
SHOP,2025-Q2,
SHOP,2025-Q3,
STT,2023-Q1,
STT,2023-Q2,
STT,2023-Q3,
STT,2023-Q4,
STT,2024-Q1,
STT,2024-Q2,
STT,2024-Q3,
STT,2024-Q4,
STT,2025-Q1,
STT,2025-Q2,
STT,2025-Q3,
TSM,2023-Q1,
TSM,2023-Q2,
TSM,2023-Q3,
TSM,2023-Q4,
TSM,2024-Q1,
TSM,2024-Q2,
TSM,2024-Q3,
TSM,2024-Q4,
TSM,2025-Q1,
TSM,2025-Q2,
TSM,2025-Q3,
