ticker,beat,meet,miss,,total_reports,beat_miss_total,beat_share,miss_share,beat_share_all
AAPL,12,0,0,0,12,12,1.0,0.0,1.0
ABNB,7,0,5,0,12,12,0.5833333333333334,0.4166666666666667,0.5833333333333334
ADBE,10,1,1,0,12,11,0.9090909090909091,0.09090909090909091,0.8333333333333334
AMAT,12,0,0,0,12,12,1.0,0.0,1.0
AMD,8,3,1,0,12,9,0.8888888888888888,0.1111111111111111,0.6666666666666666
AMZN,11,0,1,0,12,12,0.9166666666666666,0.08333333333333333,0.9166666666666666
ARM,6,3,1,0,10,7,0.8571428571428571,0.14285714285714285,0.6
ASML,10,0,2,0,12,12,0.8333333333333334,0.16666666666666666,0.8333333333333334
AVGO,9,0,3,0,12,12,0.75,0.25,0.75
BA,5,0,7,0,12,12,0.4166666666666667,0.5833333333333334,0.4166666666666667
BABA,5,1,5,0,11,10,0.5,0.5,0.45454545454545453
BAC,12,0,0,0,12,12,1.0,0.0,1.0
BK,12,0,0,0,12,12,1.0,0.0,1.0
BLK,12,0,0,0,12,12,1.0,0.0,1.0
BR,10,2,0,0,12,10,1.0,0.0,0.8333333333333334
C,12,0,0,0,12,12,1.0,0.0,1.0
COIN,9,1,2,0,12,11,0.8181818181818182,0.18181818181818182,0.75
COST,10,0,1,1,11,11,0.9090909090909091,0.09090909090909091,0.9090909090909091
CRM,12,0,0,0,12,12,1.0,0.0,1.0
DAL,9,0,3,0,12,12,0.75,0.25,0.75
DDOG,10,1,1,0,12,11,0.9090909090909091,0.09090909090909091,0.8333333333333334
DIS,12,0,0,0,12,12,1.0,0.0,1.0
F,8,1,3,0,12,11,0.7272727272727273,0.2727272727272727,0.6666666666666666
FDX,9,0,3,0,12,12,0.75,0.25,0.75
GEV,5,0,3,0,8,8,0.625,0.375,0.625
GME,9,0,2,1,11,11,0.8181818181818182,0.18181818181818182,0.8181818181818182
GOOGL,12,0,0,0,12,12,1.0,0.0,1.0
GS,11,0,1,0,12,12,0.9166666666666666,0.08333333333333333,0.9166666666666666
HOOD,11,0,1,0,12,12,0.9166666666666666,0.08333333333333333,0.9166666666666666
INTC,7,0,5,0,12,12,0.5833333333333334,0.4166666666666667,0.5833333333333334
JPM,12,0,0,0,12,12,1.0,0.0,1.0
KO,12,0,0,0,12,12,1.0,0.0,1.0
MA,12,0,0,0,12,12,1.0,0.0,1.0
META,12,0,0,0,12,12,1.0,0.0,1.0
MS,12,0,0,0,12,12,1.0,0.0,1.0
MSFT,12,0,0,0,12,12,1.0,0.0,1.0
MSTR,4,0,3,5,7,7,0.5714285714285714,0.42857142857142855,0.5714285714285714
MTB,9,0,3,0,12,12,0.75,0.25,0.75
NET,5,2,5,0,12,10,0.5,0.5,0.4166666666666667
NFLX,10,0,2,0,12,12,0.8333333333333334,0.16666666666666666,0.8333333333333334
NOW,11,1,0,0,12,11,1.0,0.0,0.9166666666666666
NVDA,11,0,1,0,12,12,0.9166666666666666,0.08333333333333333,0.9166666666666666
PANW,10,1,1,0,12,11,0.9090909090909091,0.09090909090909091,0.8333333333333334
PDD,9,0,2,0,11,11,0.8181818181818182,0.18181818181818182,0.8181818181818182
PEP,11,0,1,0,12,12,0.9166666666666666,0.08333333333333333,0.9166666666666666
PFE,12,0,0,0,12,12,1.0,0.0,1.0
PLTR,6,2,4,0,12,10,0.6,0.4,0.5
PNC,12,0,0,0,12,12,1.0,0.0,1.0
PYPL,10,0,2,0,12,12,0.8333333333333334,0.16666666666666666,0.8333333333333334
QCOM,10,1,1,0,12,11,0.9090909090909091,0.09090909090909091,0.8333333333333334
SBUX,4,2,6,0,12,10,0.4,0.6,0.3333333333333333
SHOP,9,0,3,0,12,12,0.75,0.25,0.75
SMCI,5,0,5,1,10,10,0.5,0.5,0.5
SNOW,1,0,11,0,12,12,0.08333333333333333,0.9166666666666666,0.08333333333333333
STT,11,0,1,0,12,12,0.9166666666666666,0.08333333333333333,0.9166666666666666
TGT,8,0,4,0,12,12,0.6666666666666666,0.3333333333333333,0.6666666666666666
TSLA,3,1,8,0,12,11,0.2727272727272727,0.7272727272727273,0.25
TSM,12,0,0,0,12,12,1.0,0.0,1.0
UBER,9,0,3,0,12,12,0.75,0.25,0.75
UPS,10,0,2,0,12,12,0.8333333333333334,0.16666666666666666,0.8333333333333334
V,12,0,0,0,12,12,1.0,0.0,1.0
WFC,12,0,0,0,12,12,1.0,0.0,1.0
WMT,10,1,1,0,12,11,0.9090909090909091,0.09090909090909091,0.8333333333333334
