announcement_date,fiscal_quarter_end,estimated_eps,actual_eps,ticker,fiscal_quarter,fiscal_q_index,surprise,result
2026-01-13,2025-12-31,4.87,5.23,JPM,2025Q4,8103,0.3600000000000003,beat
2025-10-14,2025-09-30,4.83,5.07,JPM,2025Q3,8102,0.2400000000000002,beat
2025-07-15,2025-06-30,4.51,4.96,JPM,2025Q2,8101,0.4500000000000002,beat
2025-04-11,2025-03-31,4.62,5.07,JPM,2025Q1,8100,0.4500000000000002,beat
2025-01-15,2024-12-31,4.03,4.81,JPM,2024Q4,8099,0.7799999999999994,beat
2024-10-11,2024-09-30,4.02,4.37,JPM,2024Q3,8098,0.35000000000000053,beat
2024-07-12,2024-06-30,4.19,4.4,JPM,2024Q2,8097,0.20999999999999996,beat
2024-04-12,2024-03-31,4.18,4.63,JPM,2024Q1,8096,0.4500000000000002,beat
2024-01-12,2023-12-31,3.73,3.97,JPM,2023Q4,8095,0.2400000000000002,beat
2023-10-13,2023-09-30,3.89,4.33,JPM,2023Q3,8094,0.43999999999999995,beat
2023-07-14,2023-06-30,3.62,4.37,JPM,2023Q2,8093,0.75,beat
2023-04-14,2023-03-31,3.41,4.1,JPM,2023Q1,8092,0.6899999999999995,beat
2026-01-13,2025-12-31,1.97,2.08,BK,2025Q4,8103,0.1100000000000001,beat
2025-10-16,2025-09-30,1.76,1.91,BK,2025Q3,8102,0.1499999999999999,beat
2025-07-15,2025-06-30,1.74,1.94,BK,2025Q2,8101,0.19999999999999996,beat
2025-04-11,2025-03-31,1.49,1.58,BK,2025Q1,8100,0.09000000000000008,beat
2025-01-15,2024-12-31,1.56,1.72,BK,2024Q4,8099,0.15999999999999992,beat
2024-10-11,2024-09-30,1.41,1.52,BK,2024Q3,8098,0.1100000000000001,beat
2024-07-12,2024-06-30,1.43,1.51,BK,2024Q2,8097,0.08000000000000007,beat
2024-04-16,2024-03-31,1.19,1.29,BK,2024Q1,8096,0.10000000000000009,beat
2024-01-12,2023-12-31,1.12,1.28,BK,2023Q4,8095,0.15999999999999992,beat
2023-10-17,2023-09-30,1.14,1.27,BK,2023Q3,8094,0.13000000000000012,beat
2023-07-18,2023-06-30,1.22,1.38,BK,2023Q2,8093,0.15999999999999992,beat
2023-04-18,2023-03-31,1.09,1.13,BK,2023Q1,8092,0.039999999999999813,beat
2026-01-13,2025-12-31,1.53,1.55,DAL,2025Q4,8103,0.020000000000000018,beat
2025-10-09,2025-09-30,1.52,1.71,DAL,2025Q3,8102,0.18999999999999995,beat
2025-07-10,2025-06-30,2.04,2.1,DAL,2025Q2,8101,0.06000000000000005,beat
2025-04-09,2025-03-31,0.4,0.46,DAL,2025Q1,8100,0.06,beat
2025-01-10,2024-12-31,1.76,1.85,DAL,2024Q4,8099,0.09000000000000008,beat
2024-10-10,2024-09-30,1.56,1.5,DAL,2024Q3,8098,-0.06000000000000005,miss
2024-07-11,2024-06-30,2.37,2.36,DAL,2024Q2,8097,-0.010000000000000231,miss
2024-04-10,2024-03-31,0.36,0.45,DAL,2024Q1,8096,0.09000000000000002,beat
2024-01-12,2023-12-31,1.17,1.28,DAL,2023Q4,8095,0.1100000000000001,beat
2023-10-12,2023-09-30,1.92,2.03,DAL,2023Q3,8094,0.10999999999999988,beat
2023-07-13,2023-06-30,2.42,2.68,DAL,2023Q2,8093,0.26000000000000023,beat
2023-04-13,2023-03-31,0.29,0.25,DAL,2023Q1,8092,-0.03999999999999998,miss
2026-01-14,2025-12-31,1.65,1.81,C,2025Q4,8103,0.16000000000000014,beat
2025-10-14,2025-09-30,1.91,2.24,C,2025Q3,8102,0.3300000000000003,beat
2025-07-15,2025-06-30,1.61,1.96,C,2025Q2,8101,0.34999999999999987,beat
2025-04-15,2025-03-31,1.84,1.96,C,2025Q1,8100,0.11999999999999988,beat
2025-01-15,2024-12-31,1.25,1.34,C,2024Q4,8099,0.09000000000000008,beat
2024-10-15,2024-09-30,1.34,1.51,C,2024Q3,8098,0.16999999999999993,beat
2024-07-12,2024-06-30,1.4,1.52,C,2024Q2,8097,0.1200000000000001,beat
2024-04-12,2024-03-31,1.29,1.58,C,2024Q1,8096,0.29000000000000004,beat
2024-01-12,2023-12-31,0.73,0.84,C,2023Q4,8095,0.10999999999999999,beat
2023-10-13,2023-09-30,1.26,1.52,C,2023Q3,8094,0.26,beat
2023-07-14,2023-06-30,1.31,1.37,C,2023Q2,8093,0.06000000000000005,beat
2023-04-14,2023-03-31,1.66,1.86,C,2023Q1,8092,0.20000000000000018,beat
2026-01-14,2025-12-31,1.66,1.76,WFC,2025Q4,8103,0.10000000000000009,beat
2025-10-14,2025-09-30,1.55,1.73,WFC,2025Q3,8102,0.17999999999999994,beat
2025-07-15,2025-06-30,1.41,1.54,WFC,2025Q2,8101,0.13000000000000012,beat
2025-04-11,2025-03-31,1.23,1.27,WFC,2025Q1,8100,0.040000000000000036,beat
2025-01-15,2024-12-31,1.34,1.42,WFC,2024Q4,8099,0.07999999999999985,beat
2024-10-11,2024-09-30,1.27,1.52,WFC,2024Q3,8098,0.25,beat
2024-07-12,2024-06-30,1.27,1.33,WFC,2024Q2,8097,0.06000000000000005,beat
2024-04-12,2024-03-31,1.1,1.26,WFC,2024Q1,8096,0.15999999999999992,beat
2024-01-12,2023-12-31,1.16,1.29,WFC,2023Q4,8095,0.13000000000000012,beat
2023-10-13,2023-09-30,1.25,1.39,WFC,2023Q3,8094,0.1399999999999999,beat
2023-07-14,2023-06-30,1.15,1.25,WFC,2023Q2,8093,0.10000000000000009,beat
2023-04-14,2023-03-31,1.15,1.23,WFC,2023Q1,8092,0.08000000000000007,beat
2026-01-14,2025-12-31,0.96,0.98,BAC,2025Q4,8103,0.020000000000000018,beat
2025-10-15,2025-09-30,0.94,1.06,BAC,2025Q3,8102,0.1200000000000001,beat
2025-07-16,2025-06-30,0.86,0.89,BAC,2025Q2,8101,0.030000000000000027,beat
2025-04-15,2025-03-31,0.81,0.9,BAC,2025Q1,8100,0.08999999999999997,beat
2025-01-16,2024-12-31,0.77,0.82,BAC,2024Q4,8099,0.04999999999999993,beat
2024-10-15,2024-09-30,0.78,0.81,BAC,2024Q3,8098,0.030000000000000027,beat
2024-07-16,2024-06-30,0.79,0.83,BAC,2024Q2,8097,0.039999999999999925,beat
2024-04-16,2024-03-31,0.77,0.83,BAC,2024Q1,8096,0.05999999999999994,beat
2024-01-12,2023-12-31,0.69,0.7,BAC,2023Q4,8095,0.010000000000000009,beat
2023-10-17,2023-09-30,0.81,0.9,BAC,2023Q3,8094,0.08999999999999997,beat
2023-07-18,2023-06-30,0.84,0.88,BAC,2023Q2,8093,0.040000000000000036,beat
2023-04-18,2023-03-31,0.79,0.94,BAC,2023Q1,8092,0.1499999999999999,beat
2026-01-15,2025-12-31,2.82,3.14,TSM,2025Q4,8103,0.3200000000000003,beat
2025-10-16,2025-09-30,2.59,2.92,TSM,2025Q3,8102,0.33000000000000007,beat
2025-07-17,2025-06-30,2.37,2.47,TSM,2025Q2,8101,0.10000000000000009,beat
2025-04-17,2025-03-31,2.03,2.12,TSM,2025Q1,8100,0.0900000000000003,beat
2025-01-16,2024-12-31,2.16,2.24,TSM,2024Q4,8099,0.08000000000000007,beat
2024-10-17,2024-09-30,1.74,1.94,TSM,2024Q3,8098,0.19999999999999996,beat
2024-07-18,2024-06-30,1.37,1.48,TSM,2024Q2,8097,0.10999999999999988,beat
2024-04-18,2024-03-31,1.29,1.38,TSM,2024Q1,8096,0.08999999999999986,beat
2024-01-18,2023-12-31,1.37,1.44,TSM,2023Q4,8095,0.06999999999999984,beat
2023-10-19,2023-09-30,1.16,1.29,TSM,2023Q3,8094,0.13000000000000012,beat
2023-07-20,2023-06-30,1.07,1.14,TSM,2023Q2,8093,0.06999999999999984,beat
2023-04-20,2023-03-31,1.21,1.31,TSM,2023Q1,8092,0.10000000000000009,beat
